Control_RIPK2_1	Control_RIPK2_2	Meditation_RIPK2_1	Meditation_RIPK2_2	Control_COX2_1	Control_COX2_2	Meditation_COX2_1	Meditation_COX2_2	Control_CCR7_1	Control_CCR7_2	Meditation_CCR7_1	Meditation_CCR7_2	Control_CXCR1_1	Control_CXCR1_2	Meditation_CXCR1_1	Meditation_CXCR1_2	Control_IL-6_1	Control_IL-6_2	Meditation_IL-6_1	Meditation_IL-6_2	Control_TNF_1	Control_TNF_2	Meditation_TNF_1	Meditation_TNF_2
0.70	1.43	1.05	0.90	-0.08	1.62	4.07	-0.65	2.89	1.50	1.50	0.64	1.87	1.30	1.01	1.54	-0.20	2.44	1.41	1.79	1.66	1.27	1.14	1.06
0.39	1.82	1.69	1.02	2.25	1.01	2.33	0.12	1.44	0.48	0.88	0.13	0.27	1.16	0.08	2.21	1.39	0.87	2.73	0.91	1.83	1.17	1.04	0.50
1.22	0.59	1.22	0.41	1.10	1.21	0.97	1.21	1.64	1.88	0.71	1.75	1.45	1.40	1.25	2.05	0.15	0.31	0.39	0.78	1.18	1.84	0.55	1.08
1.78	0.47	1.59	0.88	2.71	1.68	0.27	-0.02	1.91	1.86	0.86	0.26	2.11	1.24	1.87	1.15	1.48	1.75	1.08	0.01	0.70	1.07	1.06	1.57
0.59	1.03	1.20	1.67	1.95	0.45	1.58	0.87	1.65	0.91	1.12	1.99	1.31	1.67	1.78	0.63	0.70	1.07	0.47	0.67	0.65	1.26	1.22	0.73
1.47	1.60	1.99	1.82	0.81	-0.04	1.32	0.49	1.05	1.49	1.49	-0.02	1.35	2.75	1.17	0.62	1.07	0.10	0.49	0.16	0.76	2.12	0.20	1.73
1.66	1.48	0.95	1.03	-0.17	0.95	0.50	0.91	1.24	1.34	1.94	1.50	1.32	1.33	1.14	0.49	2.47	2.80	2.36	1.84	0.97	1.38	0.75	2.42
0.76	1.67	0.53	1.20	1.35	0.80	-0.46	0.62	0.73	1.10	1.11	0.28	-0.11	0.80	1.49	1.98	0.40	1.64	2.47	1.33	1.08	1.25	1.14	1.89
1.40	0.76	1.31	0.86	1.34	0.90	1.25	1.68	1.11	1.52	0.56	0.74	0.90	1.06	0.20	1.54	2.17	0.24	1.93	0.64	1.13	0.57	0.67	-0.03
1.09	0.45	2.19	0.95	2.83	0.90	2.51	0.34	1.45	0.65	1.15	0.84	0.49	1.04	0.85	1.71	0.50	2.06	0.30	0.10	1.50	0.79	0.36	1.92
1.89	1.22	0.63	1.38	2.84	0.19	2.29	0.87	1.05	0.75	1.11	0.75	1.07	1.32	0.96	1.73	1.98	0.91	2.14	0.38	0.77	1.24	1.08	0.40
1.11	1.32	-0.27	0.93	1.05	0.36	2.43	1.46	2.06	0.69	0.52	1.31	0.88	1.34	0.48	0.91	0.48	1.17	1.42	1.55	0.52	0.23	0.53	0.64
1.41	0.94	2.34	0.15	0.17	1.09	0.17	1.19	1.35	0.71	2.28	1.69	1.12	1.19	2.13	0.40	0.49	-0.13	1.38	0.57	0.99	1.63	1.23	-0.49
0.27	0.08	-0.13	0.59	1.44	0.65	2.17	0.46	0.86	1.63	1.75	0.85	0.58	2.07	0.39	1.79	1.67	1.38	1.97	0.27	0.80	2.05	1.61	1.19
1.71	1.30	1.17	0.99	1.01	1.52	0.04	0.02	0.96	1.07	1.72	1.96	2.31	0.81	1.47	1.61	1.82	0.77	0.91	2.01	1.54	1.57	0.92	1.27
0.77	1.29	1.66	1.24	1.81	1.35	1.58	0.46	1.85	0.97	0.63	1.16	0.91	-0.04	-0.25	1.11	0.22	0.74	-0.77	0.14	2.32	1.66	1.28	0.65
1.79	0.45	2.15	0.26	-0.25	1.50	1.56	0.21	1.82	0.21	0.26	1.42	2.49	0.26	2.15	1.30	1.14	0.32	0.95	0.92	1.22	0.90	0.71	0.79
0.51	1.20	1.67	1.11	0.26	0.41	1.84	0.49	0.34	0.56	0.79	1.82	0.80	1.23	1.90	1.82	0.47	1.86	-0.12	0.40	0.55	0.98	0.28	0.54
1.18	1.01			2.97	1.86	2.11	0.93	1.06	1.53	1.27	0.76	0.53	0.32	1.16	0.31	1.07	0.91	1.50	2.06	1.96	1.43	1.80	0.65
-0.03	1.19			1.14	1.12			1.22	1.50							0.17	0.29			1.01	1.38		
0.67	0.94			1.43	0.68			1.84	1.24							-0.98	1.07			0.43	1.57		
